GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sqlserver-to-tidb,com.tool.logging,StructuredLogger,149,0,10,0,28,0,10,0,5,0
sqlserver-to-tidb,com.tool.schema.extractor,SqlServerExtractor,33,580,12,40,0,115,12,26,0,12
sqlserver-to-tidb,com.tool.common.model,TableSchema,6,97,0,0,1,26,1,19,1,19
sqlserver-to-tidb,com.tool.common.model,ColumnSchema,0,73,0,0,0,21,0,21,0,21
sqlserver-to-tidb,com.tool.common.model,ConversionResult.Status,0,27,0,0,0,1,0,1,0,1
sqlserver-to-tidb,com.tool.common.model,IndexSchema,0,59,0,0,0,17,0,17,0,17
sqlserver-to-tidb,com.tool.common.model,ConversionResult,3,50,0,2,1,11,1,8,1,7
sqlserver-to-tidb,com.tool,App.new OutputStream() {...},7,0,0,0,1,0,2,0,2,0
sqlserver-to-tidb,com.tool,App,1875,0,109,0,280,0,81,0,25,0
sqlserver-to-tidb,com.tool,App.MigrateResult,24,0,0,0,9,0,1,0,1,0
sqlserver-to-tidb,com.tool,App.IssueRow,22,0,2,0,4,0,2,0,1,0
sqlserver-to-tidb,com.tool,App.DbVerifyPending,24,0,0,0,9,0,1,0,1,0
sqlserver-to-tidb,com.tool.pipeline,StepResult,0,25,0,0,0,5,0,3,0,3
sqlserver-to-tidb,com.tool.pipeline,MigrationPipeline,8,33,0,4,2,10,0,4,0,2
sqlserver-to-tidb,com.tool.pipeline,MigrationStep,4,0,0,0,1,0,1,0,1,0
sqlserver-to-tidb,com.tool.pipeline,StepContext,0,33,0,2,0,7,0,5,0,4
sqlserver-to-tidb,com.tool.schema.converter,TypeMapper.MappedType,0,39,0,0,0,4,0,4,0,4
sqlserver-to-tidb,com.tool.schema.converter,TypeMapper,3,362,10,93,1,72,10,65,0,4
sqlserver-to-tidb,com.tool.schema.converter,SchemaConverter,63,834,43,161,19,150,42,77,0,12
sqlserver-to-tidb,com.tool.output,SummaryPrinter.DbSummary,15,0,0,0,1,0,1,0,1,0
sqlserver-to-tidb,com.tool.output,SummaryPrinter.IssueRow,22,0,2,0,7,0,2,0,1,0
sqlserver-to-tidb,com.tool.output,ProgressReporter,108,0,6,0,20,0,7,0,4,0
sqlserver-to-tidb,com.tool.output,SummaryPrinter,504,0,44,0,78,0,30,0,8,0
sqlserver-to-tidb,com.tool.schema.verifier,VerifyResult,30,752,28,118,0,113,26,65,0,18
sqlserver-to-tidb,com.tool.schema.verifier,SchemaVerifier,675,0,92,0,150,0,54,0,4,0
sqlserver-to-tidb,com.tool.config,AppConfig.DbConfig,83,0,0,0,12,0,12,0,12,0
sqlserver-to-tidb,com.tool.config,AppConfig,39,0,0,0,10,0,7,0,7,0
sqlserver-to-tidb,com.tool.config,AppConfig.ConvertConfig,37,0,0,0,11,0,9,0,9,0
sqlserver-to-tidb,com.tool.schema.writer,TiDBWriter,12,125,3,9,3,29,4,7,1,4
